Date,Open,High,Low,Close,Adj Close,Volume
2/15/2019,1130.079956,1131.670044,1110.650024,1113.650024,1113.650024,1449800
2/19/2019,1110,1121.890015,1110,1118.560059,1118.560059,1046400
2/20/2019,1119.98999,1123.410034,1105.280029,1113.800049,1113.800049,1087800
2/21/2019,1110.839966,1111.939941,1092.52002,1096.969971,1096.969971,1415100
2/22/2019,1100.900024,1111.23999,1095.599976,1110.369995,1110.369995,1049500
2/25/2019,1116,1118.540039,1107.27002,1109.400024,1109.400024,1413100
2/26/2019,1105.75,1119.51001,1099.920044,1115.130005,1115.130005,1471300
2/27/2019,1106.949951,1117.97998,1101,1116.050049,1116.050049,968400
2/28/2019,1111.300049,1127.650024,1111.01001,1119.920044,1119.920044,1542500
3/1/2019,1124.900024,1142.969971,1124.75,1140.98999,1140.98999,1450300
3/4/2019,1146.98999,1158.280029,1130.689941,1147.800049,1147.800049,1446000
3/5/2019,1150.060059,1169.609985,1146.194946,1162.030029,1162.030029,1443200
3/6/2019,1162.48999,1167.56604,1155.48999,1157.859985,1157.859985,1099300
3/7/2019,1155.719971,1156.755005,1134.910034,1143.300049,1143.300049,1166100
3/8/2019,1126.72998,1147.079956,1123.300049,1142.319946,1142.319946,1212400
3/11/2019,1144.449951,1176.189941,1144.449951,1175.76001,1175.76001,1719200
3/12/2019,1178.26001,1200,1178.26001,1193.199951,1193.199951,2013100
3/13/2019,1200.64502,1200.930054,1191.939941,1193.319946,1193.319946,1435900
3/14/2019,1194.51001,1197.880005,1184.47998,1185.550049,1185.550049,1172800
3/15/2019,1193.380005,1196.569946,1182.609985,1184.459961,1184.459961,2461800
3/18/2019,1183.300049,1190,1177.421021,1184.26001,1184.26001,1292600
3/19/2019,1188.810059,1200,1185.869995,1198.849976,1198.849976,1520700
3/20/2019,1197.349976,1227.140015,1196.170044,1223.969971,1223.969971,2227400
3/21/2019,1216,1231.790039,1213.150024,1231.540039,1231.540039,1204000
3/22/2019,1226.319946,1230,1202.824951,1205.5,1205.5,1714200
3/25/2019,1196.930054,1206.397949,1187.040039,1193,1193,1496800
3/26/2019,1198.530029,1202.829956,1176.719971,1184.619995,1184.619995,1901200
3/27/2019,1185.5,1187.55896,1159.369995,1173.02002,1173.02002,1400200
3/28/2019,1171.540039,1171.564941,1159.43103,1168.48999,1168.48999,1012400
3/29/2019,1174.900024,1178.98999,1162.880005,1173.310059,1173.310059,1269900
4/1/2019,1184.099976,1196.660034,1182,1194.430054,1194.430054,1252500
4/2/2019,1195.319946,1201.349976,1185.709961,1200.48999,1200.48999,827900
4/3/2019,1207.47998,1216.300049,1200.5,1205.920044,1205.920044,1017800
4/4/2019,1205.939941,1215.670044,1204.130005,1215,1215,950000
4/5/2019,1214.98999,1216.219971,1205.030029,1207.150024,1207.150024,907200
4/8/2019,1207.890015,1208.689941,1199.859985,1203.839966,1203.839966,860200
4/9/2019,1196,1202.290039,1193.079956,1197.25,1197.25,876400
4/10/2019,1200.680054,1203.785034,1196.435059,1202.160034,1202.160034,724600
4/11/2019,1203.959961,1207.959961,1200.130005,1204.619995,1204.619995,710200
4/12/2019,1210,1218.349976,1208.109985,1217.869995,1217.869995,933400
4/15/2019,1218,1224.199951,1209.109985,1221.099976,1221.099976,1187400
4/16/2019,1225,1230.819946,1220.119995,1227.130005,1227.130005,856300
4/17/2019,1233,1240.560059,1227.819946,1236.339966,1236.339966,1221900
4/18/2019,1239.180054,1242,1234.609985,1236.369995,1236.369995,1331800
4/22/2019,1235.99,1249.09,1228.36,1248.84,1248.84,668518
